code,date,open,high,low,close
1,18-Oct-19,11580.3,11684.7,11553.15,11661.85
2,17-Oct-19,11466.3,11599.1,11439.65,11586.35
3,16-Oct-19,11464.95,11481.05,11411.1,11464
4,15-Oct-19,11360.85,11462.35,11342.1,11428.3
5,14-Oct-19,11335.9,11420.45,11290.05,11341.15
6,11-Oct-19,11257.7,11362.9,11189.4,11305.05
7,10-Oct-19,11280.5,11293.35,11208.55,11234.55
8,9-Oct-19,11152.95,11321.6,11090.15,11313.3
9,7-Oct-19,11196.2,11233.85,11112.65,11126.4
10,4-Oct-19,11388.45,11400.3,11158.35,11174.75
11,3-Oct-19,11322.25,11370.4,11257.35,11314
12,1-Oct-19,11515.4,11554.2,11247.9,11359.9
13,30-Sep-19,11491.15,11508.25,11390.8,11474.45
14,27-Sep-19,11556.35,11593.6,11499.75,11512.4
15,26-Sep-19,11469.85,11610.85,11466.35,11571.2
16,25-Sep-19,11564.85,11564.95,11416.1,11440.2
17,24-Sep-19,11590.7,11655.05,11539.2,11588.2
18,19-Sep-19,10845.2,10845.2,10670.25,10704.8
19,18-Sep-19,10872.8,10885.15,10804.85,10840.65
20,17-Sep-19,11000.1,11000.1,10796.5,10817.6
21,16-Sep-19,10994.85,11052.7,10968.2,11003.5
22,13-Sep-19,10986.8,11084.45,10945.75,11075.9
23,12-Sep-19,11058.3,11081.75,10964.95,10982.8
24,11-Sep-19,11028.5,11054.8,11011.65,11035.7
25,9-Sep-19,10936.7,11028.85,10889.8,11003.05
26,6-Sep-19,10883.8,10957.05,10867.45,10946.2
27,5-Sep-19,10860.95,10920.1,10816,10847.9
28,4-Sep-19,10790.4,10858.75,10746.35,10844.65
29,3-Sep-19,10960.95,10967.5,10772.7,10797.9
30,30-Aug-19,10987.8,11042.6,10874.8,11023.25
31,29-Aug-19,10996.05,11021.1,10922.4,10948.3
32,28-Aug-19,11101.3,11129.65,10987.65,11046.1
33,27-Aug-19,11106.55,11141.75,11049.5,11105.35
34,26-Aug-19,11000.3,11070.3,10756.55,11057.85
35,23-Aug-19,10699.6,10862.55,10637.15,10829.35
36,22-Aug-19,10905.3,10908.25,10718.3,10741.35
37,21-Aug-19,11018.15,11034.2,10906.65,10918.7
38,20-Aug-19,11063.9,11076.3,10985.3,11017
39,19-Aug-19,11094.8,11146.9,11037.85,11053.9
40,16-Aug-19,11043.65,11068.65,10924.3,11047.8
41,14-Aug-19,11003.25,11078.15,10935.6,11029.4
42,13-Aug-19,11139.4,11145.9,10901.6,10925.85
43,9-Aug-19,11087.9,11181.45,11062.8,11109.65
44,8-Aug-19,10899.2,11058.05,10842.95,11032.45
45,7-Aug-19,10958.1,10975.65,10835.9,10855.5
46,6-Aug-19,10815.4,11018.55,10813.8,10948.25
47,5-Aug-19,10895.8,10895.8,10782.6,10862.6
48,2-Aug-19,10930.3,11080.15,10848.95,10997.35
49,1-Aug-19,11060.2,11076.75,10881,10980
50,30-Jul-19,11213.7,11267.45,11072.65,11085.4
51,29-Jul-19,11307.5,11310.95,11152.4,11189.2
52,26-Jul-19,11247.45,11307.6,11210.05,11284.3
53,25-Jul-19,11290.4,11361.4,11239.35,11252.15
54,24-Jul-19,11322.45,11359.75,11229.8,11271.3
55,23-Jul-19,11372.25,11398.15,11302.8,11331.05
56,22-Jul-19,11392.85,11398.15,11301.25,11346.2
57,19-Jul-19,11627.95,11640.35,11399.3,11419.25
58,18-Jul-19,11675.6,11677.15,11582.4,11596.9
59,17-Jul-19,11670.75,11706.65,11651.15,11687.5
60,16-Jul-19,11596.65,11670.05,11573.95,11662.6
61,15-Jul-19,11614.75,11618.4,11532.3,11588.35
62,12-Jul-19,11601.15,11639.55,11538.6,11552.5
63,11-Jul-19,11561.45,11599,11519.5,11582.9
64,10-Jul-19,11536.15,11593.7,11475.65,11498.9
65,9-Jul-19,11531.6,11582.55,11461,11555.9
66,8-Jul-19,11770.4,11771.9,11523.3,11558.6
67,5-Jul-19,11964.75,11981.75,11797.9,11811.15
68,4-Jul-19,11928.8,11969.25,11923.65,11946.75
69,3-Jul-19,11932.15,11945.2,11887.05,11916.75
70,2-Jul-19,11890.3,11917.45,11814.7,11910.3
71,1-Jul-19,11839.9,11884.65,11830.8,11865.6
72,28-Jun-19,11861.15,11871.7,11775.5,11788.85
73,27-Jun-19,11860.85,11911.15,11821.05,11841.55
74,26-Jun-19,11768.15,11871.85,11757.55,11847.55
75,25-Jun-19,11681,11814.4,11651,11796.45
76,24-Jun-19,11725.8,11754,11670.2,11699.65
77,21-Jun-19,11827.6,11827.95,11705.1,11724.1
78,20-Jun-19,11653.65,11843.5,11635.05,11831.75
79,19-Jun-19,11744.45,11802.5,11625.1,11691.45
80,18-Jun-19,11677.05,11727.2,11641.15,11691.5
81,17-Jun-19,11844,11844.05,11657.75,11672.15
82,14-Jun-19,11910.1,11911.85,11797.7,11823.3
83,13-Jun-19,11873.9,11931.35,11817.05,11914.05
84,12-Jun-19,11962.45,11962.45,11866.35,11906.2
85,11-Jun-19,11959.85,12000.35,11904.35,11965.6
86,10-Jun-19,11934.9,11975.05,11871.75,11922.7
87,7-Jun-19,11865.2,11897.5,11769.5,11870.65
88,6-Jun-19,12039.8,12039.8,11830.25,11843.75
89,4-Jun-19,12052.65,12095.2,12005.85,12021.65
90,3-Jun-19,11953.75,12103.05,11920.1,12088.55
91,31-May-19,11999.8,12039.25,11829.45,11922.8
92,30-May-19,11865.3,11968.55,11859.4,11945.9
93,29-May-19,11905.8,11931.9,11836.8,11861.1
94,28-May-19,11958.35,11958.55,11864.9,11928.75
95,27-May-19,11855.5,11957.15,11812.4,11924.75
96,24-May-19,11748,11859,11658.1,11844.1
97,23-May-19,11901.3,12041.15,11614.5,11657.05
98,22-May-19,11727.95,11784.8,11682.4,11737.9
99,21-May-19,11863.65,11883.55,11682.8,11709.1
100,20-May-19,11651.9,11845.2,11591.7,11828.25
101,17-May-19,11261.9,11426.15,11259.85,11407.15
102,16-May-19,11180.35,11281.55,11143.35,11257.1
103,15-May-19,11271.7,11286.8,11136.95,11157
104,14-May-19,11151.65,11294.75,11108.3,11222.05
105,13-May-19,11258.7,11300.2,11125.6,11148.2
106,10-May-19,11314.15,11345.8,11251.05,11278.9
107,9-May-19,11322.4,11357.6,11255.05,11301.8
108,8-May-19,11478.7,11479.1,11346.95,11359.45
109,7-May-19,11651.5,11657.05,11484.45,11497.9
110,6-May-19,11605.8,11632.55,11571.35,11598.25
111,3-May-19,11722.6,11770.9,11699.35,11712.25
112,2-May-19,11725.55,11789.3,11699.55,11724.75
113,30-Apr-19,11748.75,11756.25,11655.9,11748.15
114,26-Apr-19,11683.75,11762.9,11661.75,11754.65
115,25-Apr-19,11735.7,11796.75,11624.3,11641.8
116,24-Apr-19,11601.5,11740.85,11578.85,11726.15
117,23-Apr-19,11612.95,11645.95,11564.8,11575.95
118,22-Apr-19,11727.05,11727.05,11583.95,11594.45
119,18-Apr-19,11856.15,11856.15,11738.5,11752.8
120,16-Apr-19,11736.2,11810.95,11731.55,11787.15
121,15-Apr-19,11667,11704.6,11648.25,11690.35
122,12-Apr-19,11612.85,11657.35,11578.8,11643.45
123,11-Apr-19,11592.55,11606.7,11550.55,11596.7
124,10-Apr-19,11646.85,11680.05,11571.75,11584.3
125,9-Apr-19,11612.05,11683.9,11569.7,11671.95
126,8-Apr-19,11704.35,11710.3,11549.1,11604.5
127,5-Apr-19,11638.4,11689.65,11609.5,11665.95
128,4-Apr-19,11660.2,11662.55,11559.2,11598
129,3-Apr-19,11735.3,11761,11629.15,11643.95
130,2-Apr-19,11711.55,11729.35,11655.85,11713.2
131,1-Apr-19,11665.2,11738.1,11644.75,11669.15
132,29-Mar-19,11625.45,11630.35,11570.15,11623.9
133,28-Mar-19,11463.65,11588.5,11452.45,11570
134,27-Mar-19,11531.45,11546.2,11413,11445.05
135,26-Mar-19,11375.2,11496.75,11352.45,11483.25
136,25-Mar-19,11395.65,11395.65,11311.6,11354.25
137,22-Mar-19,11549.2,11572.8,11434.55,11456.9
138,20-Mar-19,11553.35,11556.1,11503.1,11521.05
139,19-Mar-19,11500.3,11543.85,11451.25,11532.4
140,18-Mar-19,11473.85,11530.15,11412.5,11462.2
141,15-Mar-19,11376.85,11487,11370.8,11426.85
142,14-Mar-19,11382.5,11383.45,11313.75,11343.25
143,13-Mar-19,11326.2,11352.3,11276.6,11341.7
144,12-Mar-19,11231.35,11320.4,11227,11301.2
145,11-Mar-19,11068.75,11180.9,11059.85,11168.05
146,8-Mar-19,11038.85,11049,11008.95,11035.4
147,7-Mar-19,11077.95,11089.05,11027.1,11058.2
